Object,Altitude_km,ecc,inc_deg,RAAN_deg,arg_peri_deg,mean_anom_deg
Panel,35786.0,0.0,0.0,0.0,0.0,0.0
Mirror_1,35802.1,0.0011,0.29,14.8,195.3,71.2
Mirror_2,35770.3,0.0016,0.27,50.9,181.2,109.8
Mirror_3,35792.4,0.0009,0.36,88.1,168.7,147.5
Mirror_4,35758.7,0.0019,0.24,125.3,198.9,185.6
Mirror_5,35795.2,0.0008,0.40,162.7,184.5,223.9
Mirror_6,35766.4,0.0017,0.31,199.2,176.8,262.1
Mirror_7,35789.1,0.0010,0.34,236.4,162.3,300.7
Mirror_8,35773.8,0.0015,0.28,273.1,192.6,338.4
Mirror_9,35797.5,0.0007,0.38,309.8,178.9,16.7
Mirror_10,35785.2,0.0012,0.33,346.5,170.1,54.9
